More than 10 to 12,**11.9,*51.2,47.9,93.0,42.6,62.3,88.5,*59.4,194.4,139.8,105.5,36.7,45.1,179.1,186.6,373.7,386.2,,
More than 12 to 14,0.0,*29.2,51.1,59.8,63.0,*58.3,57.5,*26.5,125.1,97.2,123.2,*32.4,*16.0,132.1,190.0,315.1,317.4,,
More than 14,**10.3,137.2,275.8,301.5,307.1,347.1,403.6,156.3,730.9,578.1,651.3,270.3,128.6,715.8,"1,063.0","1,776.6","1,785.4",,
Total males who exceeded guideline and consumed in the last week,**12.5,212.6,370.6,454.0,415.6,476.2,549.5,229.0,"1,050.6",821.7,890.2,347.2,198.8,"1,028.6","1,433.2","2,465.1","2,479.5",,
Number of standard drinks consumed on a single day within the last month when exceeding the guideline,,,,,,,,,,,,,,,,,,,
5 to less than 7,**3.0,139.6,187.5,183.3,186.2,177.4,198.3,126.1,501.0,364.1,366.5,135.9,62.9,498.0,565.3,"1,067.6","1,063.5",,
7 to less than 11,**10.8,139.5,189.2,190.7,127.4,132.4,123.7,145.8,530.6,380.8,258.4,97.6,*22.5,514.9,381.6,898.5,903.2,,
11 or more,0.0,172.7,192.0,140.0,141.1,136.2,42.4,173.5,511.9,343.0,270.9,*35.8,**1.6,511.1,309.8,827.2,824.7,,
Total males who exceeded guideline and consumed in the last month,*18.2,446.1,564.3,519.7,453.3,441.6,368.8,450.9,"1,545.2","1,086.0",893.4,269.8,93.4,"1,520.7","1,255.9","2,788.9","2,797.4",,
"Total males, 15 years and over",471.3,"1,112.0","1,832.4","1,749.0","1,585.9","1,445.2","1,983.6","1,590.7","5,171.6","3,581.2","3,037.2","1,149.1",835.7,"4,691.3","5,019.6","9,712.9","10,191.0",,
,FEMALES AGED 15 YEARS AND OVER,,,,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,,,,,
Exceeded guideline(e),,,,,,,,,,,,,,,,,,,
Consumed more than 10 drinks in the last week,**9.5,114.4,140.9,181.3,256.0,255.7,260.3,123.8,437.5,323.9,510.4,170.6,83.9,429.6,769.0,"1,205.1","1,210.1",,
Consumed 5 or more drinks on any day in the last 12 months at least monthly(f),**6.6,290.7,286.5,213.2,233.2,157.5,88.0,306.9,808.9,496.4,389.3,68.0,*23.1,799.7,474.8,"1,269.4","1,277.3",,
Total exceeded guideline,*17.8,304.1,323.5,266.1,340.0,302.0,281.8,321.9,918.6,588.3,639.8,189.5,93.3,903.3,925.5,"1,821.6","1,838.3",,
Did not exceed guideline,,,,,,,,,,,,,,,,,,,
Consumed alcohol in the last week but did not exceed guideline,*33.9,247.1,521.0,581.5,475.7,492.8,647.9,281.1,"1,390.7","1,102.2",979.3,386.2,262.5,"1,352.7","1,627.7","2,980.2","3,015.4",,
Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,97.9,287.2,580.4,482.2,371.4,328.2,445.4,385.3,"1,442.3","1,056.3",705.7,272.4,173.3,"1,341.3","1,151.9","2,503.8","2,602.9",,
Never consumed alcohol,283.9,135.5,209.4,222.9,203.9,185.5,353.4,411.8,845.1,423.4,389.1,161.5,195.7,551.2,743.2,"1,299.8","1,583.4",,
Consumed alcohol 12 or more months ago,*10.5,*63.8,214.0,231.1,212.0,179.0,422.9,*71.2,527.0,444.4,398.3,206.6,212.8,506.2,813.1,"1,328.0","1,333.4",,
Total did not exceed guideline(g) ,428.2,735.5,"1,518.9","1,522.9","1,271.7","1,193.3","1,872.6","1,159.2","4,199.9","3,033.2","2,463.3","1,033.8",837.7,"3,774.8","4,335.9","8,108.3","8,533.7",,
"Total females, 15 years and over(h)",444.7,"1,053.1","1,850.2","1,805.1","1,641.5","1,529.0","2,207.1","1,503.7","5,161.8","3,661.5","3,166.1","1,254.2",957.4,"4,712.3","5,373.9","10,083.3","10,530.8",,
Number of standard drinks consumed in a week when exceeding the guideline,,,,,,,,,,,,,,,,,,,
More than 10 to 12,0.0,**17.7,*16.7,42.1,73.7,*41.6,63.7,**17.7,82.9,61.2,119.6,40.8,*18.0,82.9,186.7,265.6,265.6,,
More than 12 to 14,0.0,**4.2,*20.4,*19.5,**10.1,*36.6,*30.1,*16.9,53.6,45.7,*44.9,*21.0,**7.2,47.2,75.7,128.5,129.3,,
More than 14,0.0,86.6,96.4,120.0,166.2,178.1,170.3,88.6,296.1,220.3,346.0,107.5,56.6,295.7,510.4,805.3,808.7,,
Total females who exceeded guideline and consumed in the last week,**9.5,114.4,140.9,181.3,256.0,255.7,260.3,123.8,437.5,323.9,510.4,170.6,83.9,429.6,769.0,"1,205.1","1,210.1",,
Number of standard drinks consumed on a single day within the last month when exceeding the guideline,,,,,,,,,,,,,,,,,,,
5 to less than 7,0.0,128.5,118.4,104.6,132.7,90.7,62.2,140.4,359.3,219.7,223.9,46.8,*13.5,352.9,289.3,635.1,642.7,,
7 to less than 11,**6.3,107.7,120.1,68.7,63.3,51.1,*19.9,104.7,296.6,193.0,119.7,*19.9,**5.6,298.2,136.9,429.1,435.4,,
11 or more,0.0,*55.5,*42.6,*41.4,*32.8,*18.1,**4.3,*55.5,156.1,88.6,48.9,*4.5,0.0,156.1,*48.2,198.5,198.5,,
Total females who exceeded guideline and consumed in the last month,**6.6,290.7,286.5,213.2,233.2,157.5,88.0,306.9,808.9,496.4,389.3,68.0,*23.1,799.7,474.8,"1,269.4","1,277.3",,
"Total females, 15 years and over",444.7,"1,053.1","1,850.2","1,805.1","1,641.5","1,529.0","2,207.1","1,503.7","5,161.8","3,661.5","3,166.1","1,254.2",957.4,"4,712.3","5,373.9","10,083.3","10,530.8",,
* estimate has a relative standard error of 25% to 50% and should be used with caution.,,,,,,,,,,,,,,,,,,,
** estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,,,,,,,,,,
Cells in this table containing data have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,,,,,,,,,,
(a) The Australian Adult Alcohol Guideline was released in December 2020 by the National Health and Medical Research Council (NHMRC). For more information see Methodology.,,,,,,,,,,,,,,,,,,,
(b) Sex recorded at birth refers to what was determined by sex characteristics observed at birth or infancy.,,,,,,,,,,,,,,,,,,,
(c) The Australian Children Alcohol Guideline recommends people under 18 years of age should not drink alcohol. For more information see Methodology.,,,,,,,,,,,,,,,,,,,
(d) Includes persons whose sex recorded at birth was another term (other than male or female).,,,,,,,,,,,,,,,,,,,
"(e) The Australian Adult Alcohol Guideline recommends persons aged 18 years and over, either drink no more than 10 standard drinks per week or no more than 4 standard drinks on a single day once a month or more often. For more information see Methodology.",,,,,,,,,,,,,,,,,,,
(f) At least monthly consumption has been interpreted as consuming 5 or more drinks at least 12 times in the last 12 months. This measure is not directly comparable to single occasion risk interpreted from the NHMRC 2009 Guideline 2. For more information see Methodology.,,,,,,,,,,,,,,,,,,,
"(g) Includes persons who consumed alcohol in last week but did not exceed guidelines, never consumed alcohol, did not consume alcohol in the last week but did less than 12 months ago, or consumed alcohol 12 or more months ago.",,,,,,,,,,,,,,,,,,,
(h) Includes persons who did not remember when they last consumed alcohol.,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
